ENSEMBL_GENE_ID	Name	Species
ENSMUSG00000030830	integrin alpha L(Itgal)	Mus musculus
ENSMUSG00000030786	integrin alpha M(Itgam)	Mus musculus
ENSMUSG00000027351	sprouty protein with EVH-1 domain 1, related sequence(Spred1)	Mus musculus
ENSMUSG00000027087	integrin alpha V(Itgav)	Mus musculus
ENSMUSG00000007646	RAD51 paralog C(Rad51c)	Mus musculus
ENSMUSG00000025809	integrin beta 1 (fibronectin receptor beta)(Itgb1)	Mus musculus
ENSMUSG00000045671	sprouty-related EVH1 domain containing 2(Spred2)	Mus musculus
ENSMUSG00000062352	integrin beta 1 binding protein 1(Itgb1bp1)	Mus musculus
ENSMUSG00000000290	integrin beta 2(Itgb2)	Mus musculus
ENSMUSG00000011832	ecotropic viral integration site 5 like(Evi5l)	Mus musculus
ENSMUSG00000020689	integrin beta 3(Itgb3)	Mus musculus
ENSMUSG00000027613	eukaryotic translation initiation factor 6(Eif6)	Mus musculus
ENSMUSG00000022817	integrin beta 5(Itgb5)	Mus musculus
ENSMUSG00000055447	CD47 antigen (Rh-related antigen, integrin-associated signal transducer)(Cd47)	Mus musculus
ENSMUSG00000037254	inter-alpha trypsin inhibitor, heavy chain 2(Itih2)	Mus musculus
ENSMUSG00000006522	inter-alpha trypsin inhibitor, heavy chain 3(Itih3)	Mus musculus
ENSMUSG00000020395	IL2 inducible T cell kinase(Itk)	Mus musculus
ENSMUSG00000032116	STT3, subunit of the oligosaccharyltransferase complex, homolog A (S. cerevisiae)(Stt3a)	Mus musculus
ENSMUSG00000031239	integral membrane protein 2A(Itm2a)	Mus musculus
ENSMUSG00000022108	integral membrane protein 2B(Itm2b)	Mus musculus
ENSMUSG00000074797	inosine triphosphatase (nucleoside triphosphate pyrophosphatase)(Itpa)	Mus musculus
ENSMUSG00000035726	SPT16, facilitates chromatin remodeling subunit(Supt16)	Mus musculus
ENSMUSG00000030102	inositol 1,4,5-trisphosphate receptor 1(Itpr1)	Mus musculus
ENSMUSG00000030287	inositol 1,4,5-triphosphate receptor 2(Itpr2)	Mus musculus
ENSMUSG00000042644	inositol 1,4,5-triphosphate receptor 3(Itpr3)	Mus musculus
ENSMUSG00000022957	intersectin 1 (SH3 domain protein 1A)(Itsn1)	Mus musculus
ENSMUSG00000038766	GA repeat binding protein, beta 2(Gabpb2)	Mus musculus
ENSMUSG00000022094	solute carrier family 39 (zinc transporter), member 14(Slc39a14)	Mus musculus
ENSMUSG00000027276	jagged 1(Jag1)	Mus musculus
ENSMUSG00000002799	jagged 2(Jag2)	Mus musculus
ENSMUSG00000038174	family with sequence similarity 126, member B(Fam126b)	Mus musculus
ENSMUSG00000028530	Janus kinase 1(Jak1)	Mus musculus
ENSMUSG00000024789	Janus kinase 2(Jak2)	Mus musculus
ENSMUSG00000031805	Janus kinase 3(Jak3)	Mus musculus
ENSMUSG00000049299	trafficking protein particle complex 1(Trappc1)	Mus musculus
ENSMUSG00000038235	F11 receptor(F11r)	Mus musculus
ENSMUSG00000021018	polymerase (RNA) II (DNA directed) polypeptide H(Polr2h)	Mus musculus
ENSMUSG00000034958	ataxia, cerebellar, Cayman type(Atcay)	Mus musculus
ENSMUSG00000038518	jumonji, AT rich interactive domain 2(Jarid2)	Mus musculus
ENSMUSG00000036820	amidohydrolase domain containing 2(Amdhd2)	Mus musculus
ENSMUSG00000046380	jerky(Jrk)	Mus musculus
ENSMUSG00000045288	USH1 protein network component sans(Ush1g)	Mus musculus
ENSMUSG00000035873	PRKC, apoptosis, WT1, regulator(Pawr)	Mus musculus
ENSMUSG00000037890	WD repeat domain 19(Wdr19)	Mus musculus
ENSMUSG00000022178	ajuba LIM protein(Ajuba)	Mus musculus
ENSMUSG00000052684	jun proto-oncogene(Jun)	Mus musculus
ENSMUSG00000052837	jun B proto-oncogene(Junb)	Mus musculus
ENSMUSG00000071076	jun D proto-oncogene(Jund)	Mus musculus
ENSMUSG00000020389	cyclin-dependent kinase-like 3(Cdkl3)	Mus musculus
ENSMUSG00000001552	junction plakoglobin(Jup)	Mus musculus
ENSMUSG00000034616	slingshot protein phosphatase 3(Ssh3)	Mus musculus
ENSMUSG00000047976	potassium voltage-gated channel, shaker-related subfamily, member 1(Kcna1)	Mus musculus
ENSMUSG00000033124	autophagy related 9A(Atg9a)	Mus musculus
ENSMUSG00000027589	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 2(Pcmtd2)	Mus musculus
ENSMUSG00000017858	intraflagellar transport 52(Ift52)	Mus musculus
ENSMUSG00000040724	potassium voltage-gated channel, shaker-related subfamily, member 2(Kcna2)	Mus musculus
ENSMUSG00000038180	sperm associated antigen 4(Spag4)	Mus musculus
ENSMUSG00000047959	potassium voltage-gated channel, shaker-related subfamily, member 3(Kcna3)	Mus musculus
ENSMUSG00000042604	potassium voltage-gated channel, shaker-related subfamily, member 4(Kcna4)	Mus musculus
ENSMUSG00000045534	potassium voltage-gated channel, shaker-related subfamily, member 5(Kcna5)	Mus musculus
ENSMUSG00000038077	potassium voltage-gated channel, shaker-related, subfamily, member 6(Kcna6)	Mus musculus
ENSMUSG00000027827	potassium voltage-gated channel, shaker-related subfamily, beta member 1(Kcnab1)	Mus musculus
ENSMUSG00000028931	potassium voltage-gated channel, shaker-related subfamily, beta member 2(Kcnab2)	Mus musculus
ENSMUSG00000018470	potassium voltage-gated channel, shaker-related subfamily, beta member 3(Kcnab3)	Mus musculus
ENSMUSG00000050556	potassium voltage gated channel, Shab-related subfamily, member 1(Kcnb1)	Mus musculus
ENSMUSG00000048874	PHD finger protein 3(Phf3)	Mus musculus
ENSMUSG00000058975	potassium voltage gated channel, Shaw-related subfamily, member 1(Kcnc1)	Mus musculus
ENSMUSG00000028849	MAP7 domain containing 1(Map7d1)	Mus musculus
ENSMUSG00000062785	potassium voltage gated channel, Shaw-related subfamily, member 3(Kcnc3)	Mus musculus
ENSMUSG00000009731	potassium voltage-gated channel, Shal-related family, member 1(Kcnd1)	Mus musculus
ENSMUSG00000029636	WASP family, member 3(Wasf3)	Mus musculus
ENSMUSG00000090210	integrin, alpha 10(Itga10)	Mus musculus
ENSMUSG00000060882	potassium voltage-gated channel, Shal-related family, member 2(Kcnd2)	Mus musculus
ENSMUSG00000034867	ankyrin repeat domain 27 (VPS9 domain)(Ankrd27)	Mus musculus
ENSMUSG00000058248	potassium voltage-gated channel, subfamily H (eag-related), member 1(Kcnh1)	Mus musculus
ENSMUSG00000038319	potassium voltage-gated channel, subfamily H (eag-related), member 2(Kcnh2)	Mus musculus
ENSMUSG00000037579	potassium voltage-gated channel, subfamily H (eag-related), member 3(Kcnh3)	Mus musculus
ENSMUSG00000044708	potassium inwardly-rectifying channel, subfamily J, member 10(Kcnj10)	Mus musculus
ENSMUSG00000038354	ankyrin repeat domain 35(Ankrd35)	Mus musculus
ENSMUSG00000096146	potassium inwardly rectifying channel, subfamily J, member 11(Kcnj11)	Mus musculus
ENSMUSG00000042529	potassium inwardly-rectifying channel, subfamily J, member 12(Kcnj12)	Mus musculus
ENSMUSG00000051497	potassium inwardly-rectifying channel, subfamily J, member 16(Kcnj16)	Mus musculus
ENSMUSG00000041695	potassium inwardly-rectifying channel, subfamily J, member 2(Kcnj2)	Mus musculus
ENSMUSG00000026824	potassium inwardly-rectifying channel, subfamily J, member 3(Kcnj3)	Mus musculus
ENSMUSG00000044216	potassium inwardly-rectifying channel, subfamily J, member 4(Kcnj4)	Mus musculus
ENSMUSG00000043301	potassium inwardly-rectifying channel, subfamily J, member 6(Kcnj6)	Mus musculus
ENSMUSG00000030247	potassium inwardly-rectifying channel, subfamily J, member 8(Kcnj8)	Mus musculus
ENSMUSG00000038026	potassium inwardly-rectifying channel, subfamily J, member 9(Kcnj9)	Mus musculus
ENSMUSG00000033998	potassium channel, subfamily K, member 1(Kcnk1)	Mus musculus
ENSMUSG00000034303	coiled-coil domain containing 15(Ccdc15)	Mus musculus
ENSMUSG00000037624	potassium channel, subfamily K, member 2(Kcnk2)	Mus musculus
ENSMUSG00000049265	potassium channel, subfamily K, member 3(Kcnk3)	Mus musculus
ENSMUSG00000024957	potassium channel, subfamily K, member 4(Kcnk4)	Mus musculus
ENSMUSG00000023243	potassium channel, subfamily K, member 5(Kcnk5)	Mus musculus
ENSMUSG00000063142	potassium large conductance calcium-activated channel, subfamily M, alpha member 1(Kcnma1)	Mus musculus
ENSMUSG00000031576	potassium channel, subfamily U, member 1(Kcnu1)	Mus musculus
ENSMUSG00000016346	potassium voltage-gated channel, subfamily Q, member 2(Kcnq2)	Mus musculus
ENSMUSG00000040164	K+ voltage-gated channel, subfamily S, 1(Kcns1)	Mus musculus
ENSMUSG00000050963	K+ voltage-gated channel, subfamily S, 2(Kcns2)	Mus musculus
ENSMUSG00000062960	kinase insert domain protein receptor(Kdr)	Mus musculus
ENSMUSG00000041390	MyoD family inhibitor domain containing(Mdfic)	Mus musculus
ENSMUSG00000029162	ketohexokinase(Khk)	Mus musculus
ENSMUSG00000007670	KH-type splicing regulatory protein(Khsrp)	Mus musculus
ENSMUSG00000012443	kinesin family member 11(Kif11)	Mus musculus
ENSMUSG00000021375	kinesin family member 13A(Kif13a)	Mus musculus
ENSMUSG00000060012	kinesin family member 13B(Kif13b)	Mus musculus
ENSMUSG00000038844	kinesin family member 16B(Kif16b)	Mus musculus
ENSMUSG00000028758	kinesin family member 17(Kif17)	Mus musculus
ENSMUSG00000014602	kinesin family member 1A(Kif1a)	Mus musculus
ENSMUSG00000063077	kinesin family member 1B(Kif1b)	Mus musculus
ENSMUSG00000020821	kinesin family member 1C(Kif1c)	Mus musculus
ENSMUSG00000021693	kinesin family member 2A(Kif2a)	Mus musculus
ENSMUSG00000022629	kinesin family member 21A(Kif21a)	Mus musculus
ENSMUSG00000041642	kinesin family member 21B(Kif21b)	Mus musculus
ENSMUSG00000032087	DS cell adhesion molecule like 1(Dscaml1)	Mus musculus
ENSMUSG00000018395	kinesin family member 3A(Kif3a)	Mus musculus
ENSMUSG00000027475	kinesin family member 3B(Kif3b)	Mus musculus
ENSMUSG00000020668	kinesin family member 3C(Kif3c)	Mus musculus
ENSMUSG00000070780	RNA binding motif protein 47(Rbm47)	Mus musculus
ENSMUSG00000037697	DDHD domain containing 1(Ddhd1)	Mus musculus
ENSMUSG00000034311	kinesin family member 4(Kif4)	Mus musculus
ENSMUSG00000020128	VPS54 GARP complex subunit(Vps54)	Mus musculus
ENSMUSG00000074657	kinesin family member 5A(Kif5a)	Mus musculus
ENSMUSG00000006740	kinesin family member 5B(Kif5b)	Mus musculus
ENSMUSG00000026764	kinesin family member 5C(Kif5c)	Mus musculus
ENSMUSG00000050382	kinesin family member 7(Kif7)	Mus musculus
ENSMUSG00000032489	kinesin family member 9(Kif9)	Mus musculus
ENSMUSG00000026585	kinesin-associated protein 3(Kifap3)	Mus musculus
ENSMUSG00000024301	kinesin family member C5B(Kifc5b)	Mus musculus
ENSMUSG00000004187	kinesin family member C2(Kifc2)	Mus musculus
ENSMUSG00000031788	kinesin family member C3(Kifc3)	Mus musculus
ENSMUSG00000020810	cytoglobin(Cygb)	Mus musculus
ENSMUSG00000027708	DCN1, defective in cullin neddylation 1, domain containing 1 (S. cerevisiae)(Dcun1d1)	Mus musculus
ENSMUSG00000037262	Kin17 DNA and RNA binding protein(Kin)	Mus musculus
ENSMUSG00000026667	U2AF homology motif (UHM) kinase 1(Uhmk1)	Mus musculus
ENSMUSG00000005672	KIT proto-oncogene receptor tyrosine kinase(Kit)	Mus musculus
ENSMUSG00000058488	klotho(Kl)	Mus musculus
ENSMUSG00000027533	fatty acid binding protein 5, epidermal(Fabp5)	Mus musculus
ENSMUSG00000031967	AFG3-like AAA ATPase 1(Afg3l1)	Mus musculus
ENSMUSG00000021288	kinesin light chain 1(Klc1)	Mus musculus
ENSMUSG00000024862	kinesin light chain 2(Klc2)	Mus musculus
ENSMUSG00000072294	Kruppel-like factor 12(Klf12)	Mus musculus
ENSMUSG00000055148	Kruppel-like factor 2 (lung)(Klf2)	Mus musculus
ENSMUSG00000029178	Kruppel-like factor 3 (basic)(Klf3)	Mus musculus
ENSMUSG00000053128	ring finger protein 26(Rnf26)	Mus musculus
ENSMUSG00000003032	Kruppel-like factor 4 (gut)(Klf4)	Mus musculus
ENSMUSG00000033863	Kruppel-like factor 9(Klf9)	Mus musculus
ENSMUSG00000038213	TAP binding protein-like(Tapbpl)	Mus musculus
ENSMUSG00000044595	DND microRNA-mediated repression inhibitor 1(Dnd1)	Mus musculus
ENSMUSG00000022905	karyopherin (importin) alpha 1(Kpna1)	Mus musculus
ENSMUSG00000018362	karyopherin (importin) alpha 2(Kpna2)	Mus musculus
ENSMUSG00000021929	karyopherin (importin) alpha 3(Kpna3)	Mus musculus
ENSMUSG00000027782	karyopherin (importin) alpha 4(Kpna4)	Mus musculus
ENSMUSG00000003731	karyopherin (importin) alpha 6(Kpna6)	Mus musculus
ENSMUSG00000030255	sarcospan(Sspn)	Mus musculus
ENSMUSG00000034098	follistatin-like 5(Fstl5)	Mus musculus
ENSMUSG00000030265	Kirsten rat sarcoma viral oncogene homolog(Kras)	Mus musculus
ENSMUSG00000090291	leucine rich repeat containing 10B(Lrrc10b)	Mus musculus
ENSMUSG00000028634	human immunodeficiency virus type I enhancer binding protein 3(Hivep3)	Mus musculus
ENSMUSG00000074622	v-maf musculoaponeurotic fibrosarcoma oncogene family, protein B (avian)(Mafb)	Mus musculus
ENSMUSG00000019761	keratin 10(Krt10)	Mus musculus
ENSMUSG00000046834	keratin 1(Krt1)	Mus musculus
ENSMUSG00000057177	glycogen synthase kinase 3 alpha(Gsk3a)	Mus musculus
ENSMUSG00000035509	F-box and leucine-rich repeat protein 21(Fbxl21)	Mus musculus
ENSMUSG00000018334	kinase suppressor of ras 1(Ksr1)	Mus musculus
ENSMUSG00000021843	kinectin 1(Ktn1)	Mus musculus
ENSMUSG00000035606	kyphoscoliosis peptidase(Ky)	Mus musculus
ENSMUSG00000069539	SCY1-like 2 (S. cerevisiae)(Scyl2)	Mus musculus
ENSMUSG00000021738	ataxin 7(Atxn7)	Mus musculus
ENSMUSG00000023066	rotatin(Rttn)	Mus musculus
ENSMUSG00000096687	major facilitator superfamily domain containing 4B4(Mfsd4b4)	Mus musculus
ENSMUSG00000031391	L1 cell adhesion molecule(L1cam)	Mus musculus
ENSMUSG00000017692	rhomboid like 3(Rhbdl3)	Mus musculus
ENSMUSG00000041782	ladinin(Lad1)	Mus musculus
ENSMUSG00000037138	AF4/FMR2 family, member 3(Aff3)	Mus musculus
ENSMUSG00000028832	stathmin 1(Stmn1)	Mus musculus
ENSMUSG00000030124	lymphocyte-activation gene 3(Lag3)	Mus musculus
ENSMUSG00000032796	laminin, alpha 1(Lama1)	Mus musculus
ENSMUSG00000019899	laminin, alpha 2(Lama2)	Mus musculus
ENSMUSG00000024421	laminin, alpha 3(Lama3)	Mus musculus
ENSMUSG00000019846	laminin, alpha 4(Lama4)	Mus musculus
ENSMUSG00000015647	laminin, alpha 5(Lama5)	Mus musculus
ENSMUSG00000002900	laminin B1(Lamb1)	Mus musculus
ENSMUSG00000039646	vasorin(Vasn)	Mus musculus
ENSMUSG00000052911	laminin, beta 2(Lamb2)	Mus musculus
ENSMUSG00000042129	Ras association (RalGDS/AF-6) domain family member 4(Rassf4)	Mus musculus
ENSMUSG00000026639	laminin, beta 3(Lamb3)	Mus musculus
ENSMUSG00000051977	PR domain containing 9(Prdm9)	Mus musculus
ENSMUSG00000026479	laminin, gamma 2(Lamc2)	Mus musculus
ENSMUSG00000031447	lysosomal-associated membrane protein 1(Lamp1)	Mus musculus
ENSMUSG00000016534	lysosomal-associated membrane protein 2(Lamp2)	Mus musculus
ENSMUSG00000032518	ribosomal protein SA(Rpsa)	Mus musculus
ENSMUSG00000039062	alanyl (membrane) aminopeptidase(Anpep)	Mus musculus
ENSMUSG00000028581	lysosomal-associated protein transmembrane 5(Laptm5)	Mus musculus
ENSMUSG00000071324	armadillo repeat containing 2(Armc2)	Mus musculus
ENSMUSG00000004383	LARGE xylosyl- and glucuronyltransferase 1(Large1)	Mus musculus
ENSMUSG00000038366	LIM and SH3 protein 1(Lasp1)	Mus musculus
ENSMUSG00000040021	large tumor suppressor(Lats1)	Mus musculus
ENSMUSG00000028059	rho/rac guanine nucleotide exchange factor (GEF) 2(Arhgef2)	Mus musculus
ENSMUSG00000028414	fukutin(Fktn)	Mus musculus
ENSMUSG00000040940	Rho guanine nucleotide exchange factor (GEF) 1(Arhgef1)	Mus musculus
ENSMUSG00000079330	LEM domain containing 1(Lemd1)	Mus musculus
ENSMUSG00000016024	lipopolysaccharide binding protein(Lbp)	Mus musculus
ENSMUSG00000042115	kelch domain containing 8A(Klhdc8a)	Mus musculus
ENSMUSG00000035237	lecithin cholesterol acyltransferase(Lcat)	Mus musculus
ENSMUSG00000000409	lymphocyte protein tyrosine kinase(Lck)	Mus musculus
ENSMUSG00000026822	lipocalin 2(Lcn2)	Mus musculus
ENSMUSG00000038437	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 6(Mllt6)	Mus musculus
ENSMUSG00000002699	lymphocyte cytosolic protein 2(Lcp2)	Mus musculus
ENSMUSG00000052921	Rho guanine nucleotide exchange factor (GEF) 15(Arhgef15)	Mus musculus
ENSMUSG00000055917	zinc finger protein 277(Zfp277)	Mus musculus
ENSMUSG00000031698	myosin light chain kinase 3(Mylk3)	Mus musculus
ENSMUSG00000025223	LIM domain binding 1(Ldb1)	Mus musculus
ENSMUSG00000039706	LIM domain binding 2(Ldb2)	Mus musculus
ENSMUSG00000063229	lactate dehydrogenase A(Ldha)	Mus musculus
ENSMUSG00000030246	lactate dehydrogenase B(Ldhb)	Mus musculus
ENSMUSG00000018661	component of oligomeric golgi complex 1(Cog1)	Mus musculus
ENSMUSG00000032193	low density lipoprotein receptor(Ldlr)	Mus musculus
ENSMUSG00000027985	lymphoid enhancer binding factor 1(Lef1)	Mus musculus
ENSMUSG00000071711	mercaptopyruvate sulfurtransferase(Mpst)	Mus musculus
ENSMUSG00000042046	dual serine/threonine and tyrosine protein kinase(Dstyk)	Mus musculus
ENSMUSG00000057722	leptin receptor(Lepr)	Mus musculus
ENSMUSG00000029570	LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase(Lfng)	Mus musculus
ENSMUSG00000068220	lectin, galactose binding, soluble 1(Lgals1)	Mus musculus
ENSMUSG00000041684	basic, immunoglobulin-like variable motif containing(Bivm)	Mus musculus
ENSMUSG00000053964	lectin, galactose binding, soluble 4(Lgals4)	Mus musculus
ENSMUSG00000042116	von Willebrand factor A domain containing 1(Vwa1)	Mus musculus
ENSMUSG00000026439	retinoblastoma binding protein 5, histone lysine methyltransferase complex subunit(Rbbp5)	Mus musculus
ENSMUSG00000001123	lectin, galactose binding, soluble 9(Lgals9)	Mus musculus
ENSMUSG00000033595	leucine-rich repeat LGI family, member 3(Lgi3)	Mus musculus
ENSMUSG00000026427	eukaryotic translation initiation factor 2D(Eif2d)	Mus musculus
ENSMUSG00000000247	LIM homeobox protein 2(Lhx2)	Mus musculus
ENSMUSG00000026890	LIM homeobox protein 6(Lhx6)	Mus musculus
ENSMUSG00000045211	nudix (nucleoside diphosphate linked moiety X)-type motif 18(Nudt18)	Mus musculus
ENSMUSG00000040842	SUZ RNA binding domain containing 1(Szrd1)	Mus musculus
ENSMUSG00000054263	LIF receptor alpha(Lifr)	Mus musculus
ENSMUSG00000014852	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 13(Adamts13)	Mus musculus
ENSMUSG00000056394	ligase I, DNA, ATP-dependent(Lig1)	Mus musculus
ENSMUSG00000020697	ligase III, DNA, ATP-dependent(Lig3)	Mus musculus
ENSMUSG00000038268	candidate tumor suppressor in ovarian cancer 2(Ovca2)	Mus musculus
ENSMUSG00000029674	LIM-domain containing, protein kinase(Limk1)	Mus musculus
ENSMUSG00000020451	LIM motif-containing protein kinase 2(Limk2)	Mus musculus
ENSMUSG00000028920	F-box protein 42(Fbxo42)	Mus musculus
ENSMUSG00000041977	Rho guanine nucleotide exchange factor (GEF) 11(Arhgef11)	Mus musculus
ENSMUSG00000024781	lysosomal acid lipase A(Lipa)	Mus musculus
ENSMUSG00000003123	lipase, hormone sensitive(Lipe)	Mus musculus
ENSMUSG00000053846	lipase, endothelial(Lipg)	Mus musculus
ENSMUSG00000020536	LLGL1 scribble cell polarity complex component(Llgl1)	Mus musculus
ENSMUSG00000044533	ribosomal protein S2(Rps2)	Mus musculus
ENSMUSG00000023044	cysteine sulfinic acid decarboxylase(Csad)	Mus musculus
ENSMUSG00000054206	granzyme M (lymphocyte met-ase 1)(Gzmm)	Mus musculus
ENSMUSG00000028063	lamin A(Lmna)	Mus musculus
ENSMUSG00000024590	lamin B1(Lmnb1)	Mus musculus
ENSMUSG00000062075	lamin B2(Lmnb2)	Mus musculus
ENSMUSG00000032698	LIM domain only 2(Lmo2)	Mus musculus
ENSMUSG00000028266	LIM domain only 4(Lmo4)	Mus musculus
ENSMUSG00000096727	proteasome (prosome, macropain) subunit, beta type 9 (large multifunctional peptidase 2)(Psmb9)	Mus musculus
ENSMUSG00000024338	proteasome (prosome, macropain) subunit, beta type 8 (large multifunctional peptidase 7)(Psmb8)	Mus musculus
ENSMUSG00000025946	parathyroid hormone 2 receptor(Pth2r)	Mus musculus
ENSMUSG00000028654	v-myc avian myelocytomatosis viral oncogene lung carcinoma derived(Mycl)	Mus musculus
ENSMUSG00000029312	kelch-like 8(Klhl8)	Mus musculus
ENSMUSG00000026664	phytanoyl-CoA hydroxylase(Phyh)	Mus musculus
ENSMUSG00000042594	SH2B adaptor protein 3(Sh2b3)	Mus musculus
ENSMUSG00000029228	ligand of numb-protein X 1(Lnx1)	Mus musculus
ENSMUSG00000042215	BCL2-associated athanogene 2(Bag2)	Mus musculus
ENSMUSG00000040025	YTH N6-methyladenosine RNA binding protein 2(Ythdf2)	Mus musculus
ENSMUSG00000050558	prokineticin receptor 2(Prokr2)	Mus musculus
ENSMUSG00000043165	loricrin(Lor)	Mus musculus
ENSMUSG00000032396	DIS3 like exosome 3'-5' exoribonuclease(Dis3l)	Mus musculus
ENSMUSG00000050321	neuropilin (NRP) and tolloid (TLL)-like 1(Neto1)	Mus musculus
ENSMUSG00000039252	leucine-rich repeat LGI family, member 2(Lgi2)	Mus musculus
ENSMUSG00000032334	lysyl oxidase-like 1(Loxl1)	Mus musculus
ENSMUSG00000000693	lysyl oxidase-like 3(Loxl3)	Mus musculus
ENSMUSG00000040852	pleckstrin homology domain containing, family H (with MyTH4 domain) member 2(Plekhh2)	Mus musculus
ENSMUSG00000024659	annexin A1(Anxa1)	Mus musculus
ENSMUSG00000015568	lipoprotein lipase(Lpl)	Mus musculus
ENSMUSG00000024253	dynein cytoplasmic 2 light intermediate chain 1(Dync2li1)	Mus musculus
ENSMUSG00000048200	calcium release activated channel regulator 2B(Cracr2b)	Mus musculus
ENSMUSG00000035011	zinc finger and BTB domain containing 7a(Zbtb7a)	Mus musculus
ENSMUSG00000030263	inositol 1,4,5-triphosphate receptor associated 2(Irag2)	Mus musculus
ENSMUSG00000040249	low density lipoprotein receptor-related protein 1(Lrp1)	Mus musculus
ENSMUSG00000033900	microtubule-associated protein 9(Map9)	Mus musculus
ENSMUSG00000024913	low density lipoprotein receptor-related protein 5(Lrp5)	Mus musculus
ENSMUSG00000030201	low density lipoprotein receptor-related protein 6(Lrp6)	Mus musculus
ENSMUSG00000028613	low density lipoprotein receptor-related protein 8, apolipoprotein e receptor(Lrp8)	Mus musculus
ENSMUSG00000029103	low density lipoprotein receptor-related protein associated protein 1(Lrpap1)	Mus musculus
ENSMUSG00000026305	leucine rich repeat (in FLII) interacting protein 1(Lrrfip1)	Mus musculus
ENSMUSG00000034648	leucine rich repeat protein 1, neuronal(Lrrn1)	Mus musculus
ENSMUSG00000026443	leucine rich repeat protein 2, neuronal(Lrrn2)	Mus musculus
ENSMUSG00000036295	leucine rich repeat protein 3, neuronal(Lrrn3)	Mus musculus
ENSMUSG00000018819	lymphocyte specific 1(Lsp1)	Mus musculus
ENSMUSG00000033105	lanosterol synthase(Lss)	Mus musculus
ENSMUSG00000015889	leukotriene A4 hydrolase(Lta4h)	Mus musculus
ENSMUSG00000002020	latent transforming growth factor beta binding protein 2(Ltbp2)	Mus musculus
ENSMUSG00000024940	latent transforming growth factor beta binding protein 3(Ltbp3)	Mus musculus
ENSMUSG00000030339	lymphotoxin B receptor(Ltbr)	Mus musculus
ENSMUSG00000020377	leukotriene C4 synthase(Ltc4s)	Mus musculus
ENSMUSG00000027297	leukocyte tyrosine kinase(Ltk)	Mus musculus
ENSMUSG00000036446	lumican(Lum)	Mus musculus
ENSMUSG00000028393	aminolevulinate, delta-, dehydratase(Alad)	Mus musculus
ENSMUSG00000047557	latexin(Lxn)	Mus musculus
ENSMUSG00000028919	Rho guanine nucleotide exchange factor (GEF) 19(Arhgef19)	Mus musculus
ENSMUSG00000061132	B cell linker(Blnk)	Mus musculus
ENSMUSG00000027435	CD93 antigen(Cd93)	Mus musculus
ENSMUSG00000036275	RIKEN cDNA 9530068E07 gene(9530068E07Rik)	Mus musculus
ENSMUSG00000022587	lymphocyte antigen 6 complex, locus E(Ly6e)	Mus musculus
ENSMUSG00000026980	lymphocyte antigen 75(Ly75)	Mus musculus
ENSMUSG00000021624	CD180 antigen(Cd180)	Mus musculus
ENSMUSG00000032180	transmembrane p24 trafficking protein 1(Tmed1)	Mus musculus
ENSMUSG00000021423	lymphocyte antigen 86(Ly86)	Mus musculus
ENSMUSG00000067367	Ly1 antibody reactive clone(Lyar)	Mus musculus
ENSMUSG00000034041	lymphoblastomic leukemia 1(Lyl1)	Mus musculus
ENSMUSG00000042228	LYN proto-oncogene, Src family tyrosine kinase(Lyn)	Mus musculus
ENSMUSG00000019726	lysosomal trafficking regulator(Lyst)	Mus musculus
ENSMUSG00000069516	lysozyme 2(Lyz2)	Mus musculus
ENSMUSG00000027800	transmembrane 4 superfamily member 1(Tm4sf1)	Mus musculus
ENSMUSG00000099784	DNMT1 associated long intergenic non-coding RNA(Dalir)	Mus musculus
ENSMUSG00000007458	mannose-6-phosphate receptor, cation dependent(M6pr)	Mus musculus
ENSMUSG00000022244	alpha-methylacyl-CoA racemase(Amacr)	Mus musculus
ENSMUSG00000069662	myristoylated alanine rich protein kinase C substrate(Marcks)	Mus musculus
ENSMUSG00000001156	MAX dimerization protein 1(Mxd1)	Mus musculus
ENSMUSG00000029554	MAD1 mitotic arrest deficient 1-like 1(Mad1l1)	Mus musculus
ENSMUSG00000037235	Max dimerization protein 4(Mxd4)	Mus musculus
ENSMUSG00000031681	SMAD family member 1(Smad1)	Mus musculus
ENSMUSG00000024563	SMAD family member 2(Smad2)	Mus musculus
ENSMUSG00000032402	SMAD family member 3(Smad3)	Mus musculus
ENSMUSG00000024515	SMAD family member 4(Smad4)	Mus musculus
ENSMUSG00000021540	SMAD family member 5(Smad5)	Mus musculus
ENSMUSG00000036867	SMAD family member 6(Smad6)	Mus musculus
ENSMUSG00000025880	SMAD family member 7(Smad7)	Mus musculus
ENSMUSG00000055435	avian musculoaponeurotic fibrosarcoma oncogene homolog(Maf)	Mus musculus
ENSMUSG00000042622	v-maf musculoaponeurotic fibrosarcoma oncogene family, protein F (avian)(Maff)	Mus musculus
ENSMUSG00000051510	v-maf musculoaponeurotic fibrosarcoma oncogene family, protein G (avian)(Mafg)	Mus musculus
ENSMUSG00000018143	v-maf musculoaponeurotic fibrosarcoma oncogene family, protein K (avian)(Mafk)	Mus musculus
ENSMUSG00000036634	myelin-associated glycoprotein(Mag)	Mus musculus
ENSMUSG00000070327	ring finger protein 213(Rnf213)	Mus musculus
